Player,Position,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Scottie Barnes,Small Forward,44,34.6,15.5,6.1,13.2,46.1,0.9,2.9,29.9,2.5,3.3,75.9,7.1,4.8,1,0.9,2.1,12,1
Harrison Barnes,Small Forward,45,32.6,15.5,4.8,9.8,48.5,1.7,4.5,37.7,4.2,5.2,82.3,5,1.7,0.8,0.1,1.2,0,0
P.J. Washington,Power Forward,46,32.5,15.4,5.7,12.9,44.6,2.1,5.7,36.9,1.8,2.3,76.9,4.7,2.4,0.8,1.1,1.5,1,0
Alperen Sengun,Center,42,27.6,15.2,6,10.5,57,0.2,0.7,30,3,4,75.1,9,3.3,0.8,1,2.3,15,1
Jaden Ivey,Point Guard,44,30.3,15.2,5.2,12.7,41.2,1.3,4.2,32.1,3.4,4.6,72.9,4.1,4.3,0.9,0.2,2.8,3,0
Evan Mobley,Power Forward,46,34.2,15.1,6.2,11,56.5,0.2,1.1,17.6,2.5,3.6,68.3,8.9,2.7,0.7,1.3,2.1,12,0
Jonas Valanciunas,Center,46,25.2,14.9,5.8,10.7,54,0.6,1.7,36.7,2.7,3.2,83.1,9.8,1.7,0.3,0.5,2,24,0
Brook Lopez,Center,45,30.6,14.5,5.6,11.1,50.2,2,5.1,39,1.4,1.8,78.3,6.3,1.2,0.5,2.5,1.4,4,0
Collin Sexton,Point Guard,36,24.2,14.4,4.9,9.9,49.6,1,2.5,40,3.5,4.3,81.9,2.2,2.8,0.6,0.1,1.7,1,0
Bobby Portis,Forward,46,26.8,14.3,5.9,12,49.5,1.2,3.6,33.5,1.3,1.5,82.9,10.1,1.8,0.5,0.2,1.3,28,0
Malcolm Brogdon,Point Guard,41,24.4,14.3,5,10.3,48,2,4.3,45.5,2.5,2.8,87.9,4.3,3.7,0.6,0.3,1.5,0,0
Saddiq Bey,Small Forward,44,28.7,14.3,4.5,11.3,40,1.8,5.4,33.5,3.5,4,85.9,4.4,1.5,1,0.2,1.1,2,0
Luguentz Dort,Guard,45,30.4,14.3,4.9,11.8,41.1,1.9,5.3,35.8,2.6,3.4,76.1,4.3,2.2,1,0.3,1.4,2,0
Jusuf Nurkic,Center,40,28.4,14.3,5.3,10.2,52,0.9,2.2,38.2,2.8,4.1,69.1,10,2.9,0.9,1,2.6,15,0
Tim Hardaway Jr.,Small Forward,43,29.4,13.9,4.6,12,38.4,2.8,7.8,35.9,1.9,2.3,80.2,3.2,1.5,0.8,0.1,0.9,0,0
Jarrett Allen,Center,41,33,13.7,5.6,8.9,62.9,0,0.2,0,2.6,3.6,71.4,9.6,1.7,0.8,1.2,1.4,17,0
Malik Beasley,Shooting Guard,49,27.1,13.7,4.9,12.4,39.9,3.1,8.6,35.8,0.7,0.9,83.7,3.5,1.6,0.8,0.2,1.1,1,0
Tre Jones,Point Guard,45,30.1,13.6,5.2,11.7,44.7,0.8,2.7,28.9,2.4,2.7,89.3,3.7,6.4,1.3,0.2,1.8,2,0
Alec Burks,Shooting Guard,35,21.7,13.6,4.2,9.1,45.6,1.9,4.4,44.4,3.3,4,81.6,3,2.2,0.7,0.1,1.1,0,0
John Collins,Power Forward,39,31.3,13.3,5.2,10.2,51,0.8,3.3,26,2.1,2.5,80.8,7.7,1.3,0.7,1.3,1.3,9,0
Rudy Gobert,Center,39,30.5,13.3,5.1,7.5,67.9,0,0.1,0,3.1,4.6,67,11.5,0.8,0.8,1.3,1.7,16,0
Marcus Morris Sr.,Small Forward,44,29.3,13.2,4.9,11.1,43.9,2.1,5.4,38.2,1.3,1.7,79.5,4.5,1.8,0.6,0.4,1,2,0
Malik Monk,Shooting Guard,44,22.1,13.2,4.6,10.8,42.5,1.7,5.4,31.2,2.3,2.6,90.4,2.4,3.8,0.6,0.3,1.9,0,0
Max Strus,Shooting Guard,45,30.8,12.9,4.6,11.4,39.9,2.6,7.9,33.4,1.1,1.3,87.9,3.6,2.3,0.7,0.2,1,2,0
Caris LeVert,Shooting Guard,44,31,12.8,4.6,11,41.8,1.6,4.3,37.7,2,2.7,72.3,4,3.7,0.8,0.2,1.7,1,0
Kyle Lowry,Point Guard,38,34.3,12.7,4.1,10.1,40.3,2.1,6.3,33.6,2.5,2.9,84.8,4.5,5.5,1.1,0.4,2,2,1
Trey Murphy III,Shooting Guard,43,29,12.7,4.3,9,48.3,2.2,5.5,39.8,1.8,1.9,92.7,3.9,1.4,1,0.5,0.8,1,0
Bones Hyland,Point Guard,38,19.9,12.6,4.3,10.6,40.6,2.3,6,39.2,1.7,1.9,85.1,2.2,3.1,0.7,0.3,1.7,1,0
Immanuel Quickley,Shooting Guard,47,27.4,12.5,4.3,10.1,42.8,1.6,4.8,33.2,2.2,2.6,86.1,4,3.1,0.9,0.1,1.2,2,0
